Regional totals	Autonomous Communities and Cities	Provinces	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M12	268.148
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M11	215.400
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M10	283.506
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M09	363.892
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M08	592.615
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M07	479.562
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M06	408.286
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M05	362.398
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M04	370.381
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M03	296.943
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M02	299.561
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2012M01	321.379
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M12	358.603
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M11	313.264
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M10	323.930
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M09	460.035
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M08	712.274
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M07	559.632
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M06	410.765
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M05	400.630
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M04	400.425
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M03	352.851
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M02	279.817
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2011M01	307.500
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M12	343.161
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M11	332.684
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M10	345.698
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M09	434.874
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M08	791.702
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M07	560.763
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M06	477.606
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M05	415.227
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M04	408.996
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M03	340.598
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M02	316.202
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2010M01	317.431
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M12	353.451
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M11	337.119
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M10	394.704
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M09	513.972
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M08	891.532
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M07	661.632
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M06	426.448
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M05	363.081
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M04	395.910
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M03	291.587
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M02	281.639
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2009M01	263.773
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M12	291.007
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M11	321.273
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M10	402.447
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M09	560.814
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M08	905.273
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M07	668.754
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M06	519.335
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M05	472.420
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M04	446.945
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M03	422.794
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M02	293.111
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2008M01	270.268
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M12	312.042
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M11	335.222
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M10	433.102
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M09	600.899
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M08	991.927
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M07	801.697
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M06	515.484
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M05	382.930
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M04	462.714
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M03	305.114
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M02	291.479
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2007M01	267.231
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M12	379.657
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M11	335.053
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M10	476.004
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M09	681.578
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M08	1.006.458
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M07	754.947
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M06	486.789
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M05	419.881
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M04	421.945
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M03	310.044
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M02	279.249
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2006M01	271.214
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M12	329.051
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M11	329.730
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M10	437.355
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M09	611.991
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M08	971.431
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M07	695.164
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M06	428.765
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M05	388.313
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M04	313.247
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M03	366.806
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M02	279.964
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2005M01	251.079
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M12	290.577
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M11	298.969
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M10	449.032
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M09	649.212
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M08	967.089
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M07	675.087
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M06	402.711
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M05	324.640
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M04	358.105
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M03	268.294
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M02	251.287
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2004M01	233.641
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M12	254.692
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M11	273.683
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M10	372.384
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M09	585.497
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M08	866.163
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M07	557.198
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M06	326.952
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M05	292.678
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M04	352.259
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M03	272.411
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M02	223.738
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2003M01	189.915
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M12	227.305
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M11	264.098
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M10	364.138
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M09	541.353
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M08	722.369
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M07	488.047
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M06	275.521
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M05	253.194
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M04	267.775
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M03	276.508
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M02	226.582
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2002M01	191.771
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M12	198.527
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M11	245.239
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M10	346.804
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M09	387.189
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M08	534.180
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M07	371.473
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M06	274.589
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M05	242.883
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M04	283.955
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M03	223.385
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M02	192.948
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2001M01	169.620
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M12	214.300
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M11	246.700
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M10	349.784
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M09	395.755
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M08	498.482
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M07	358.577
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M06	280.567
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M05	251.073
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M04	296.323
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M03	238.787
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M02	204.960
National Total	05 Canarias	38 Santa Cruz de Tenerife	Overnight stays	Total	Residents in Spain	2000M01	180.089
