Provinces	Travellers and overnight stays	Residence	Periodo	Total
02 Albacete	Overnight stays	Residents in Spain	2024M01	1.396
02 Albacete	Overnight stays	Residents in Spain	2023M12	3.669
02 Albacete	Overnight stays	Residents in Spain	2023M11	2.571
02 Albacete	Overnight stays	Residents in Spain	2023M10	4.043
02 Albacete	Overnight stays	Residents in Spain	2023M09	3.208
02 Albacete	Overnight stays	Residents in Spain	2023M08	7.796
02 Albacete	Overnight stays	Residents in Spain	2023M07	5.441
02 Albacete	Overnight stays	Residents in Spain	2023M06	4.000
02 Albacete	Overnight stays	Residents in Spain	2023M05	2.327
02 Albacete	Overnight stays	Residents in Spain	2023M04	4.140
02 Albacete	Overnight stays	Residents in Spain	2023M03	2.797
02 Albacete	Overnight stays	Residents in Spain	2023M02	1.869
